Clothing_ID,Clo_All,Clo_Pelvis,Clo_Left_Upper_Arm,Clo_Right_Upper_Arm,Clo_Left_Forearm,Clo_Right_Forearm,Clo_Left_Hand,Clo_Right_Hand,Clo_Left_Lower_Leg,Clo_Right_Lower_Leg,Clo_Left_Foot,Clo_Right_Foot,Clo_Head,Clo_Chest,Clo_Back,Clo_Left_Thigh,Clo_Right_Thigh
1,0.4,0.99,0.71,0.59,0.34,0.16,0.03,0.01,0.2,0.24,0.72,0.71,0.54,1.44,0.68,0.15,0.16
2,0.85,3.51,1.73,1.67,1.19,1.27,0.21,0.05,0.25,0.29,0.69,0.74,0.21,3.7,1.87,0.52,0.46
