PCS_ID,Experiment_ID,Manikin_ID,Clothing_ID,Target_Body
1,1,1,1,Face
2,1,1,1,Face
3,1,1,1,Face
4,1,1,1,Face
5,1,1,1,Face
6,1,1,1,"Neck, Face"
7,1,1,1,Face
8,1,1,1,Trunk
9,1,1,1,Trunk
10,1,1,1,Trunk
11,1,1,1,Back
12,1,1,1,Feet
13,1,1,2,Feet
14,1,1,2,Feet
15,1,1,2,Feet
16,1,1,2,Hand
17,1,1,2,Trunk
