<<<<<<< Updated upstream
PCS_ID,PCS_Name,Category,Physical_Effect,Type,Size_LxWxH_cm,Brand,Product_Reference,Availability,Image,Publication,PCS_Level,Price_USD,Year,Target_Body,Angle_Horizontal,Distance_Horizontal,Distance_Vertical,Plug_Power,Research_Center,Country,Context,Posture,Manikin_Company,Manikin_Type,Manikin_Gender,Manikin_Body_Segments,Control_Method,Baseline_Ta,Baseline_MRT,Baseline_RH,Baseline_V,PCS_Ta,PCS_MRT,PCS_RH,PCS_V,Baseline_Tsk_All,Baseline_Tsk_Head,Baseline_Tsk_Chest,Baseline_Tsk_Back,Baseline_Tsk_Pelvis,Baseline_Tsk_Left_Upper_Arm,Baseline_Tsk_Right_Upper_Arm,Baseline_Tsk_Left_Forearm,Baseline_Tsk_Right_Forearm,Baseline_Tsk_Left_Hand,Baseline_Tsk_Right_Hand,Baseline_Tsk_Left_Thigh,Baseline_Tsk_Right_Thigh,Baseline_Tsk_Left_Lower_Leg,Baseline_Tsk_Right_Lower_Leg,Baseline_Tsk_Left_Foot,Baseline_Tsk_Right_Foot,Baseline_P_All,Baseline_P_Head,Baseline_P_Chest,Baseline_P_Back,Baseline_P_Pelvis,Baseline_P_Left_Upper_Arm,Baseline_P_Right_Upper_Arm,Baseline_P_Left_Forearm,Baseline_P_Right_Forearm,Baseline_P_Left_Hand,Baseline_P_Right_Hand,Baseline_P_Left_Thigh,Baseline_P_Right_Thigh,Baseline_P_Left_Lower_Leg,Baseline_P_Right_Lower_Leg,Baseline_P_Left_Foot,Baseline_P_Right_Foot,PCS_Tsk_All,PCS_Tsk_Head,PCS_Tsk_Chest,PCS_Tsk_Back,PCS_Tsk_Pelvis,PCS_Tsk_Left_Upper_Arm,PCS_Tsk_Right_Upper_Arm,PCS_Tsk_Left_Forearm,PCS_Tsk_Right_Forearm,PCS_Tsk_Left_Hand,PCS_Tsk_Right_Hand,PCS_Tsk_Left_Thigh,PCS_Tsk_Right_Thigh,PCS_Tsk_Left_Lower_Leg,PCS_Tsk_Right_Lower_Leg,PCS_Tsk_Left_Foot,PCS_Tsk_Right_Foot,PCS_P_All,PCS_P_Head,PCS_P_Chest,PCS_P_Back,PCS_P_Pelvis,PCS_P_Left_Upper_Arm,PCS_P_Right_Upper_Arm,PCS_P_Left_Forearm,PCS_P_Right_Forearm,PCS_P_Left_Hand,PCS_P_Right_Hand,PCS_P_Left_Thigh,PCS_P_Right_Thigh,PCS_P_Left_Lower_Leg,PCS_P_Right_Lower_Leg,PCS_P_Left_Foot,PCS_P_Right_Foot,Delta_Teq_All,Delta_Teq_Head,Delta_Teq_Chest,Delta_Teq_Back,Delta_Teq_Pelvis,Delta_Teq_Left_Upper_Arm,Delta_Teq_Right_Upper_Arm,Delta_Teq_Left_Forearm,Delta_Teq_Right_Forearm,Delta_Teq_Left_Hand,Delta_Teq_Right_Hand,Delta_Teq_Left_Thigh,Delta_Teq_Right_Thigh,Delta_Teq_Left_Lower_Leg,Delta_Teq_Right_Lower_Leg,Delta_Teq_Left_Foot,Delta_Teq_Right_Foot,Delta_P_All,Delta_P_Head,Delta_P_Chest,Delta_P_Back,Delta_P_Pelvis,Delta_P_Left_Upper_Arm,Delta_P_Right_Upper_Arm,Delta_P_Left_Forearm,Delta_P_Right_Forearm,Delta_P_Left_Hand,Delta_P_Right_Hand,Delta_P_Left_Thigh,Delta_P_Right_Thigh,Delta_P_Left_Lower_Leg,Delta_P_Right_Lower_Leg,Delta_P_Left_Foot,Delta_P_Right_Foot,Clo_All,Clo_Head,Clo_Chest,Clo_Back,Clo_Pelvis,Clo_Left_Upper_Arm,Clo_Right_Upper_Arm,Clo_Left_Forearm,Clo_Right_Forearm,Clo_Left_Hand,Clo_Right_Hand,Clo_Left_Thigh,Clo_Right_Thigh,Clo_Left_Lower_Leg,Clo_Right_Lower_Leg,Clo_Left_Foot,Clo_Right_Foot
18,UnderDesk_PersonalVentilation,Cooling,Convective,Cooled air by Phase Change Material,"70, 20, 50",nan,nan,Prototype,ID18_UnderDesk_PersonalVentilation.jpeg,"https://doi.org/10.1016/j.buildenv.2019.106198, http://dx.doi.org/10.1016/j.buildenv.2017.03.040",23C_29cfm,,2017,Stomach,0,20,0,65,Syracuse University,USA,Office,Sitting,Thermetrics,Thermal,Male,20,TskControl,23.9,23.9,50,0.1,26.1,26.1,50,0.1,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,86.11539363,10.66267199,6.854957653,9.664814097,4.797579076,4.854799066,5.676279025,4.58517507,4.58517507,3.100427071,3.935505729,5.231928235,6.415865072,5.190841383,6.052697574,2.283225354,2.22345216,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,124.1545139,13.91650357,16.35239663,13.75610859,15.83606702,7.918645262,7.349828433,6.3738576,6.3738576,3.335768928,3.67152662,6.071573839,7.281747495,5.42577541,5.976570587,2.29982,2.214466344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,UnderDesk_PersonalVentilation,Cooling,Convective,Cooled air by Phase Change Material,"70, 20, 50",nan,nan,Prototype,ID18_UnderDesk_PersonalVentilation.jpeg,"https://doi.org/10.1016/j.buildenv.2019.106198, http://dx.doi.org/10.1016/j.buildenv.2017.03.041",23C_29cfm,,2017,Stomach,0,61,0,65,Syracuse University,USA,Office,Sitting,Thermetrics,Thermal,Male,20,TskControl,23.9,23.9,50,0.1,26.1,26.1,50,0.1,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,86.11539363,10.66267199,6.854957653,9.664814097,4.797579076,4.854799066,5.676279025,4.58517507,4.58517507,3.100427071,3.935505729,5.231928235,6.415865072,5.190841383,6.052697574,2.283225354,2.22345216,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,122.5121289,13.53932707,14.74306648,15.43308567,12.17021494,7.719459323,9.690928539,5.8805758,5.8805758,3.488305302,3.952140826,6.041717687,7.771477979,5.375646495,6.177373218,2.368768754,2.279465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,UnderDesk_PersonalVentilation,Cooling,Convective,Cooled air by Phase Change Material,"70, 20, 50",nan,nan,Prototype,ID18_UnderDesk_PersonalVentilation.jpeg,"https://doi.org/10.1016/j.buildenv.2019.106198, http://dx.doi.org/10.1016/j.buildenv.2017.03.042",23cfm,,2017,Stomach,0,20,0,65,Syracuse University,USA,Office,Sitting,Thermetrics,Thermal,Male,20,TskControl,23.9,23.9,50,0.1,26.1,26.1,50,0.1,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,86.11539363,10.66267199,6.854957653,9.664814097,4.797579076,4.854799066,5.676279025,4.58517507,4.58517507,3.100427071,3.935505729,5.231928235,6.415865072,5.190841383,6.052697574,2.283225354,2.22345216,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,119.806847,13.66333608,15.14015439,13.15616411,15.33849503,7.072939827,7.843584868,6.071673264,6.071673264,3.150128886,3.771807365,5.849323512,7.06629924,5.279669807,5.809840735,2.314560736,2.207195851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,UnderDesk_PersonalVentilation,Cooling,Convective,Cooled air by Phase Change Material,"70, 20, 50",nan,nan,Prototype,ID18_UnderDesk_PersonalVentilation.jpeg,"https://doi.org/10.1016/j.buildenv.2019.106198, http://dx.doi.org/10.1016/j.buildenv.2017.03.043",23cfm,,2017,Stomach,0,61,0,65,Syracuse University,USA,Office,Sitting,Thermetrics,Thermal,Male,20,TskControl,23.9,23.9,50,0.1,26.1,26.1,50,0.1,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,86.11539363,10.66267199,6.854957653,9.664814097,4.797579076,4.854799066,5.676279025,4.58517507,4.58517507,3.100427071,3.935505729,5.231928235,6.415865072,5.190841383,6.052697574,2.283225354,2.22345216,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,116.9631886,12.87868489,13.90438197,14.03346179,12.39047942,7.343852301,8.245772361,5.234768791,5.234768791,3.64423265,3.931576119,6.356202407,7.913839683,5.287755732,5.93236662,2.387673926,2.24337114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,UnderDesk_PersonalVentilation,Cooling,Convective,Cooled air by Phase Change Material,"70, 20, 50",nan,nan,Prototype,ID18_UnderDesk_PersonalVentilation.jpeg,"https://doi.org/10.1016/j.buildenv.2019.106198, http://dx.doi.org/10.1016/j.buildenv.2017.03.044",17cfm,,2017,Stomach,0,20,0,65,Syracuse University,USA,Office,Sitting,Thermetrics,Thermal,Male,20,TskControl,23.9,23.9,50,0.1,26.1,26.1,50,0.1,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,86.11539363,10.66267199,6.854957653,9.664814097,4.797579076,4.854799066,5.676279025,4.58517507,4.58517507,3.100427071,3.935505729,5.231928235,6.415865072,5.190841383,6.052697574,2.283225354,2.22345216,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,113.6946091,13.1882009,13.16789198,12.14925757,14.18505667,6.869463238,7.157426272,5.538962,5.538962,3.453161954,3.652853931,5.823831585,6.804103003,5.381688482,6.02198337,2.454999672,2.306766525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,UnderDesk_PersonalVentilation,Cooling,Convective,Cooled air by Phase Change Material,"70, 20, 50",nan,nan,Prototype,ID18_UnderDesk_PersonalVentilation.jpeg,"https://doi.org/10.1016/j.buildenv.2019.106198, http://dx.doi.org/10.1016/j.buildenv.2017.03.045",17cfm,,2017,Stomach,0,61,0,65,Syracuse University,USA,Office,Sitting,Thermetrics,Thermal,Male,20,TskControl,23.9,23.9,50,0.1,26.1,26.1,50,0.1,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,86.11539363,10.66267199,6.854957653,9.664814097,4.797579076,4.854799066,5.676279025,4.58517507,4.58517507,3.100427071,3.935505729,5.231928235,6.415865072,5.190841383,6.052697574,2.283225354,2.22345216,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,110.6257832,12.5994177,13.04798492,12.30580756,11.21807824,7.106215105,7.485719641,5.0009124,5.0009124,3.655256672,3.950375,5.964292157,7.117074774,5.498733069,5.82508267,2.486169082,2.36375182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,FootWarmer_boxPad,Heating,Conductive,Foot warmer,"45, 15, 50",nan,nan,Prototype,ID19_FootWarmer_BoxPad.jpeg,10.1016/j.buildenv.2018.10.018,30W,,2017,"Left_Foot, Right_Foot",0,0,0,30,Syracuse University,USA,Office,Sitting,Thermetrics,Thermal,Male,20,TskControl,21.1,21.1,30,0.1,18.9,18.9,30,0.1,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,103.049019,17.09062327,4.273358388,7.961091801,2.685410887,3.208488998,3.402653336,3.799323966,3.799323966,5.601748782,6.008152398,8.739743244,9.543763207,9.413076409,9.932035194,3.886020983,3.704204171,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,112.00392,19.62844936,5.291980898,8.221130319,3.342858292,3.570069726,3.754221977,4.457892301,4.457892301,6.837346107,6.620153901,10.92362172,11.6927492,11.05166066,11.52163849,0.242510862,0.389743895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,FootWarmer_boxPad,Heating,"Conductive, Radiant",Foot warmer,"45, 15, 50",nan,nan,Prototype,ID19_FootWarmer_BoxPad.jpeg,10.1016/j.buildenv.2018.10.019,45W,,2017,"Left_Foot, Right_Foot",0,0,0,45,Syracuse University,USA,Office,Sitting,Thermetrics,Thermal,Male,20,TskControl,21.1,21.1,30,0.1,18.9,18.9,30,0.1,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,103.049019,17.09062327,4.273358388,7.961091801,2.685410887,3.208488998,3.402653336,3.799323966,3.799323966,5.601748782,6.008152398,8.739743244,9.543763207,9.413076409,9.932035194,3.886020983,3.704204171,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,112.0958795,19.36974691,5.305161419,8.932813122,3.35293554,3.607441893,3.828489008,4.504203955,4.504203955,6.966152324,6.714676972,10.87864034,11.6581278,10.9293509,11.49256982,0.020440331,0.030925264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,HeatingDesk_BigUpperLower,Heating,"Conductive, Radiant",Heating desk with upper and lower radiant surfaces,"60, 26",nan,nan,Prototype,ID20_HeatDesk_D.jpg,nan,30upper_40lower,nan,2022,"Hands, Arms, Legs",0,0,"0, 30",50,"University of California, Berkeley",USA,Office,Sitting,PT Teknik,Thermal,Female,16,ComfortControl,17,17,50,0,17,17,50,0,31.1,31.7,32.6,32.3,33.425,31.4,31.3,29.7,29.655,24.245,24.295,32.2,32.2,29.975,30.075,27.4,27.2,65.255,75.595,55.945,60.2,67.96,63.2,65.8,65.5,66.84,49.7,49.025,66.3,65.73,79.495,77.6,50.385,53.75,31.50,31.8,32.8,32.5,33.8,31.6,31.5,30.1,30.1,25.8,25.86,32.65,32.68,30.145,30.2,27.5,27.2,58.67,73.8,51.355,56.345,61.99,59.515,61.905,59.075,58.935,20.6,19.87,57.165,56.925,76.01,75.06,48.33,53.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,HeatingDesk_BigUpperLower,Heating,"Conductive, Radiant",Heating desk with upper and lower radiant surfaces,"60, 26",nan,nan,Prototype,ID20_HeatDesk_D.jpg,nan,36upper_30lower,nan,2022,"Hands, Arms, Legs",0,0,"0, 30",61,"University of California, Berkeley",USA,Office,Sitting,PT Teknik,Thermal,Female,16,ComfortControl,17,17,50,0,17,17,50,0,31.1,31.7,32.6,32.3,33.425,31.4,31.3,29.7,29.655,24.245,24.295,32.2,32.2,29.975,30.075,27.4,27.2,65.255,75.595,55.945,60.2,67.96,63.2,65.8,65.5,66.84,49.7,49.025,66.3,65.73,79.495,77.6,50.385,53.75,31.50,31.8,32.865,32.6,33.8,31.6,31.5,30.2,30.265,26.8,26.855,32.4,32.4,30.085,30.1,27.4,27.2,58.72,73.765,50.815,55.81,61.2,59.4,61.9,56.4,55.61,2.305,1.215,62.305,62.035,77.665,76.965,49.575,54.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
