PCS_ID,PCS_Name,PCS_Level,Angle_Horizontal,Distance_Horizontal,Tset,Control_Method,Reference_time,Condition_without_PCS,Condition_with_PCS,Delta_P_All,Delta_P_Pelvis,Delta_P_Left_Upper_Arm,Delta_P_Right_Upper_Arm,Delta_P_Left_Forearm,Delta_P_Right_Forearm,Delta_P_Left_Hand,Delta_P_Right_Hand,Delta_P_Left_Lower_Leg,Delta_P_Right_Lower_Leg,Delta_P_Left_Foot,Delta_P_Right_Foot,PCS_Ta,PCS_MRT,PCS_RH,PCS_V,PCS_To,PCS_ET,PCS_Tsk_All,PCS_Tsk_Pelvis,PCS_Tsk_Left_Upper_Arm,PCS_Tsk_Right_Upper_Arm,PCS_Tsk_Left_Forearm,PCS_Tsk_Right_Forearm,PCS_Tsk_Left_Hand,PCS_Tsk_Right_Hand,PCS_Tsk_Left_Lower_Leg,PCS_Tsk_Right_Lower_Leg,PCS_Tsk_Left_Foot,PCS_Tsk_Right_Foot,PCS_P_All,PCS_P_Pelvis,PCS_P_Left_Upper_Arm,PCS_P_Right_Upper_Arm,PCS_P_Left_Forearm,PCS_P_Right_Forearm,PCS_P_Left_Hand,PCS_P_Right_Hand,PCS_P_Left_Lower_Leg,PCS_P_Right_Lower_Leg,PCS_P_Left_Foot,PCS_P_Right_Foot,Baseline_Ta,Baseline_MRT,Baseline_RH,Baseline_V,Baseline_To,Baseline_ET,Baseline_Tsk_All,Baseline_Tsk_Pelvis,Baseline_Tsk_Left_Upper_Arm,Baseline_Tsk_Right_Upper_Arm,Baseline_Tsk_Left_Forearm,Baseline_Tsk_Right_Forearm,Baseline_Tsk_Left_Hand,Baseline_Tsk_Right_Hand,Baseline_Tsk_Left_Lower_Leg,Baseline_Tsk_Right_Lower_Leg,Baseline_Tsk_Left_Foot,Baseline_Tsk_Right_Foot,Baseline_P_All,Baseline_P_Pelvis,Baseline_P_Left_Upper_Arm,Baseline_P_Right_Upper_Arm,Baseline_P_Left_Forearm,Baseline_P_Right_Forearm,Baseline_P_Left_Hand,Baseline_P_Right_Hand,Baseline_P_Left_Lower_Leg,Baseline_P_Right_Lower_Leg,Baseline_P_Left_Foot,Baseline_P_Right_Foot,PCS_ht_All,Baseline_ht_All,Delta_ht_All,Delta_Teq_All,PCS_ht_Pelvis,Baseline_ht_Pelvis,Delta_ht_Pelvis,Delta_Teq_Pelvis,PCS_ht_Left_Upper_Arm,Baseline_ht_Left_Upper_Arm,Delta_ht_Left_Upper_Arm,Delta_Teq_Left_Upper_Arm,PCS_ht_Right_Upper_Arm,Baseline_ht_Right_Upper_Arm,Delta_ht_Right_Upper_Arm,Delta_Teq_Right_Upper_Arm,PCS_ht_Left_Forearm,Baseline_ht_Left_Forearm,Delta_ht_Left_Forearm,Delta_Teq_Left_Forearm,PCS_ht_Right_Forearm,Baseline_ht_Right_Forearm,Delta_ht_Right_Forearm,Delta_Teq_Right_Forearm,PCS_ht_Left_Hand,Baseline_ht_Left_Hand,Delta_ht_Left_Hand,Delta_Teq_Left_Hand,PCS_ht_Right_Hand,Baseline_ht_Right_Hand,Delta_ht_Right_Hand,Delta_Teq_Right_Hand,PCS_ht_Left_Lower_Leg,Baseline_ht_Left_Lower_Leg,Delta_ht_Left_Lower_Leg,Delta_Teq_Left_Lower_Leg,PCS_ht_Right_Lower_Leg,Baseline_ht_Right_Lower_Leg,Delta_ht_Right_Lower_Leg,Delta_Teq_Right_Lower_Leg,PCS_ht_Left_Foot,Baseline_ht_Left_Foot,Delta_ht_Left_Foot,Delta_Teq_Left_Foot,PCS_ht_Right_Foot,Baseline_ht_Right_Foot,Delta_ht_Right_Foot,Delta_Teq_Right_Foot,Baseline_ht_Head,Baseline_P_Head,Delta_ht_Head,PCS_ht_Head,Delta_Teq_Head,Delta_P_Head,PCS_P_Head,PCS_Tsk_Head,Baseline_Tsk_Head,Baseline_ht_Chest,Baseline_P_Chest,Delta_ht_Chest,PCS_ht_Chest,Delta_Teq_Chest,Delta_P_Chest,PCS_P_Chest,PCS_Tsk_Chest,Baseline_Tsk_Chest,Baseline_ht_Back,Baseline_P_Back,Delta_ht_Back,PCS_ht_Back,Delta_Teq_Back,Delta_P_Back,PCS_P_Back,PCS_Tsk_Back,Baseline_Tsk_Back,Baseline_ht_Left_Thigh,Baseline_P_Left_Thigh,Delta_ht_Left_Thigh,PCS_ht_Left_Thigh,Delta_Teq_Left_Thigh,Delta_P_Left_Thigh,PCS_P_Left_Thigh,PCS_Tsk_Left_Thigh,Baseline_Tsk_Left_Thigh,Baseline_ht_Right_Thigh,Baseline_P_Right_Thigh,Delta_ht_Right_Thigh,PCS_ht_Right_Thigh,Delta_Teq_Right_Thigh,Delta_P_Right_Thigh,PCS_P_Right_Thigh,PCS_Tsk_Right_Thigh,Baseline_Tsk_Right_Thigh
1,Small desk fan (grey),Mid,135.0,60.0,25,TskControl34,2025-02-01 16:59:14,2025-02-01_ID0_NoPCS_Ta25_TskControl34.csv,2025-02-01_ID1_Small desk fan (grey)_Mid_Angle135_Distance60_Ta25_TskControl34.csv,0.2,-1.95,-0.1,-0.44,6.27,2.22,11.18,1.99,-4.24,-3.15,-3.93,-0.83,25.0,25.3,62.34,0.04,25.18,25.93,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,53.62,32.37,44.6,54.08,64.63,76.5,109.0,88.97,62.58,62.77,44.85,44.47,24.8,25.4,62.29,0.26,25.03,25.78,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,53.42,34.32,44.7,54.52,58.36,74.28,97.82,86.98,66.82,65.92,48.78,45.3,6.08,5.96,0.12,-0.03,3.67,3.83,-0.16,0.51,5.06,4.98,0.07,0.02,6.13,6.08,0.05,0.07,7.33,6.51,0.82,-0.96,8.67,8.28,0.39,-0.27,12.36,10.91,1.45,-1.03,10.09,9.7,0.39,-0.2,7.1,7.45,-0.35,0.57,7.12,7.35,-0.23,0.43,5.09,5.44,-0.35,0.72,5.04,5.05,-0.01,0.17,3.22,28.87,0.68,3.9,-1.27,5.5,34.37,34.0,34.0,3.26,29.24,-0.02,3.24,0.2,-0.66,28.58,34.0,34.0,5.19,46.57,0.08,5.28,-0.02,-0.03,46.54,34.0,34.0,6.99,62.74,0.02,7.02,0.14,-0.86,61.88,34.0,34.0,7.36,66.04,0.08,7.45,0.06,-0.37,65.67,34.0,34.0
1,Small desk fan (grey),High,135.0,60.0,25,TskControl34,2025-02-01 17:18:14,2025-02-01_ID0_NoPCS_Ta25_TskControl34.csv,2025-02-01_ID1_Small desk fan (grey)_High_Angle135_Distance60_Ta25_TskControl34.csv,1.05,-3.14,1.45,-2.49,7.77,0.75,11.33,1.55,-4.5,-1.95,-3.86,-0.48,25.2,25.2,62.78,0.18,25.2,25.99,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,54.47,31.18,46.15,52.03,66.13,75.03,109.15,88.53,62.32,63.97,44.92,44.82,24.8,25.4,62.29,0.26,25.03,25.78,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,53.42,34.32,44.7,54.52,58.36,74.28,97.82,86.98,66.82,65.92,48.78,45.3,6.19,5.96,0.23,-0.18,3.54,3.83,-0.28,0.82,5.24,4.98,0.26,-0.29,5.91,6.08,-0.17,0.41,7.52,6.51,1.01,-1.19,8.53,8.28,0.25,-0.09,12.4,10.91,1.5,-1.04,10.06,9.7,0.36,-0.16,7.08,7.45,-0.37,0.6,7.27,7.35,-0.08,0.27,5.1,5.44,-0.33,0.71,5.09,5.05,0.04,0.1,3.22,28.87,1.81,5.03,-3.26,15.38,44.24,34.0,34.0,3.26,29.24,0.16,3.42,-0.28,0.89,30.12,34.0,34.0,5.19,46.57,0.04,5.23,0.04,-0.57,46.01,34.0,34.0,6.99,62.74,0.14,7.13,0.01,0.04,62.78,34.0,34.0,7.36,66.04,-0.07,7.29,0.27,-1.88,64.16,34.0,34.0
1,Small desk fan (grey),Low,135.0,60.0,25,TskControl34,2025-02-01 16:44:44,2025-02-01_ID0_NoPCS_Ta25_TskControl34.csv,2025-02-01_ID1_Small desk fan (grey)_Low_Angle135_Distance60_Ta25_TskControl34.csv,0.44,-0.18,-0.76,-0.48,5.26,-0.6,8.12,3.42,-4.16,-1.46,-2.66,0.12,25.0,25.1,60.78,0.03,25.06,25.76,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,53.86,34.14,43.94,54.04,63.62,73.68,105.94,90.4,62.66,64.46,46.12,45.42,24.8,25.4,62.29,0.26,25.03,25.78,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,53.42,34.32,44.7,54.52,58.36,74.28,97.82,86.98,66.82,65.92,48.78,45.3,6.02,5.96,0.07,-0.07,3.82,3.83,-0.01,0.05,4.91,4.98,-0.07,0.15,6.04,6.08,-0.03,0.08,7.12,6.51,0.61,-0.81,8.24,8.28,-0.04,0.07,11.85,10.91,0.94,-0.74,10.11,9.7,0.42,-0.35,7.01,7.45,-0.44,0.56,7.21,7.35,-0.14,0.2,5.16,5.44,-0.28,0.49,5.08,5.05,0.03,-0.02,3.22,28.87,0.48,3.7,-1.01,4.2,33.06,34.0,34.0,3.26,29.24,0.0,3.26,0.02,-0.07,29.17,34.0,34.0,5.19,46.57,0.07,5.26,-0.11,0.49,47.06,34.0,34.0,6.99,62.74,-0.03,6.96,0.08,-0.49,62.25,34.0,34.0,7.36,66.04,0.1,7.47,-0.09,0.71,66.75,34.0,34.0
1,Small desk fan (grey),Mid,135.0,60.0,22,TskControl34,2025-02-19 14:25:28,2025-02-19_ID0_NoPCS_Ta22_TskControl34.csv,2025-02-19_ID1_Small desk fan (grey)_Mid_Angle135_Distance60_Ta22_TskControl34.csv,0.74,-1.0,0.02,-1.8,3.3,1.96,9.06,7.36,-0.78,-1.22,-0.84,0.08,22.3,22.5,42.93,0.22,22.38,22.34,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,74.16,45.24,64.88,70.0,87.82,98.08,134.24,120.88,90.08,93.84,63.24,64.34,22.1,22.3,30.15,0.2,22.18,22.02,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,73.42,46.24,64.86,71.8,84.52,96.12,125.18,113.52,90.86,95.06,64.08,64.26,6.38,6.21,0.17,-0.12,3.89,3.91,-0.02,0.26,5.58,5.49,0.1,-0.0,6.02,6.07,-0.05,0.3,7.56,7.15,0.41,-0.46,8.44,8.13,0.31,-0.24,11.55,10.59,0.96,-0.86,10.4,9.6,0.8,-0.77,7.75,7.69,0.07,0.1,8.08,8.04,0.03,0.15,5.44,5.42,0.02,0.15,5.54,5.44,0.1,-0.01,3.28,38.81,1.17,4.45,-2.87,12.92,51.74,34.0,34.0,3.51,41.48,-0.02,3.49,0.24,-0.91,40.57,34.0,34.0,5.07,59.9,0.06,5.13,0.08,-0.33,59.57,34.0,34.0,7.63,90.2,-0.03,7.6,0.25,-1.87,88.33,34.0,34.0,8.0,94.58,-0.14,7.86,0.42,-3.23,91.35,34.0,34.0
1,Small desk fan (grey),High,135.0,60.0,22,TskControl34,2025-02-19 14:44:08,2025-02-19_ID0_NoPCS_Ta22_TskControl34.csv,2025-02-19_ID1_Small desk fan (grey)_High_Angle135_Distance60_Ta22_TskControl34.csv,0.8,-1.04,-0.08,-3.68,4.68,3.8,16.02,10.88,-3.36,-2.46,-1.28,-0.9,22.3,22.5,42.93,0.22,22.38,22.34,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,74.22,45.2,64.78,68.12,89.2,99.92,141.2,124.4,87.5,92.6,62.8,63.36,22.1,22.3,30.15,0.2,22.18,22.02,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,73.42,46.24,64.86,71.8,84.52,96.12,125.18,113.52,90.86,95.06,64.08,64.26,6.39,6.21,0.18,-0.13,3.89,3.91,-0.02,0.27,5.57,5.49,0.09,0.01,5.86,6.07,-0.21,0.61,7.68,7.15,0.53,-0.65,8.6,8.13,0.47,-0.47,12.15,10.59,1.56,-1.51,10.71,9.6,1.1,-1.13,7.53,7.69,-0.16,0.44,7.97,8.04,-0.07,0.31,5.4,5.42,-0.02,0.24,5.45,5.44,0.02,0.17,3.28,38.81,1.54,4.83,-3.8,17.26,56.08,34.0,34.0,3.51,41.48,0.01,3.52,0.14,-0.6,40.88,34.0,34.0,5.07,59.9,0.06,5.12,0.07,-0.35,59.55,34.0,34.0,7.63,90.2,-0.09,7.54,0.33,-2.55,87.65,34.0,34.0,8.0,94.58,-0.35,7.65,0.72,-5.71,88.87,34.0,34.0
1,Small desk fan (grey),Low,135.0,60.0,22,TskControl34,2025-02-19 14:06:18,2025-02-19_ID0_NoPCS_Ta22_TskControl34.csv,2025-02-19_ID1_Small desk fan (grey)_Low_Angle135_Distance60_Ta22_TskControl34.csv,1.46,0.96,0.02,-0.64,2.76,1.42,12.0,2.44,-0.66,-0.38,-0.34,-0.22,22.3,22.1,42.93,0.09,22.2,22.25,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,74.88,47.2,64.88,71.16,87.28,97.54,137.18,115.96,90.2,94.68,63.74,64.04,22.1,22.3,30.15,0.2,22.18,22.02,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,73.42,46.24,64.86,71.8,84.52,96.12,125.18,113.52,90.86,95.06,64.08,64.26,6.35,6.21,0.13,-0.24,4.0,3.91,0.09,-0.25,5.5,5.49,0.01,-0.0,6.03,6.07,-0.04,0.11,7.4,7.15,0.25,-0.39,8.27,8.13,0.13,-0.17,11.63,10.59,1.03,-1.13,9.83,9.6,0.22,-0.25,7.64,7.69,-0.04,0.09,8.02,8.04,-0.02,0.05,5.4,5.42,-0.02,0.06,5.43,5.44,-0.01,0.04,3.28,38.81,0.91,4.2,-2.39,10.7,49.51,34.0,34.0,3.51,41.48,0.0,3.51,-0.0,-0.03,41.45,34.0,34.0,5.07,59.9,0.06,5.13,-0.12,0.66,60.56,34.0,34.0,7.63,90.2,0.03,7.66,-0.04,0.23,90.43,34.0,34.0,8.0,94.58,-0.03,7.97,0.07,-0.52,94.06,34.0,34.0
1,Small desk fan (grey),Low,135.0,60.0,28,TskControl34,2025-05-16 16:46:44,2025-05-16_ID0_NoPCS_Ta28_TskControl34.csv,2025-05-16_ID1_Small desk fan (grey)_Low_Angle135_Distance60_Ta28_TskControl34.csv,2.24,-0.26,2.84,1.42,12.04,0.96,4.76,0.34,1.06,1.0,-0.2,0.0,28.6,28.5,31.5,0.0,28.5,27.18,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,36.18,20.06,33.18,32.54,51.52,42.3,52.2,46.46,45.58,44.46,33.28,30.18,28.6,28.5,31.5,0.0,28.5,27.18,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,33.94,20.32,30.34,31.12,39.48,41.34,47.44,46.12,44.52,43.46,33.48,30.18,6.58,6.17,0.41,-0.36,3.65,3.69,-0.05,0.07,6.03,5.52,0.52,-0.51,5.92,5.66,0.26,-0.25,9.37,7.18,2.19,-1.68,7.69,7.52,0.17,-0.13,9.49,8.63,0.87,-0.55,8.45,8.39,0.06,-0.04,8.29,8.09,0.19,-0.13,8.08,7.9,0.18,-0.13,6.05,6.09,-0.04,0.03,5.49,5.49,0.0,0.0,3.54,19.48,1.78,5.32,-1.8,9.79,29.26,34.0,34.0,2.99,16.45,0.7,3.69,-1.29,3.85,20.3,34.0,34.0,5.65,31.06,0.01,5.65,0.01,0.03,31.09,34.0,34.0,7.53,41.42,0.19,7.72,-0.14,1.04,42.46,34.0,34.0,7.85,43.17,0.04,7.89,-0.03,0.22,43.39,34.0,34.0
1,Small desk fan (grey),High,135.0,60.0,28,TskControl34,2025-05-16 17:13:44,2025-05-16_ID0_NoPCS_Ta28_TskControl34.csv,2025-05-16_ID1_Small desk fan (grey)_High_Angle135_Distance60_Ta28_TskControl34.csv,3.7,-1.04,5.02,2.72,22.76,0.24,15.36,0.82,1.48,1.4,-0.28,0.2,28.6,28.5,31.5,0.0,28.5,27.18,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,37.64,19.28,35.36,33.84,62.24,41.58,62.8,46.94,46.0,44.86,33.2,30.38,28.6,28.5,31.5,0.0,28.5,27.18,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,33.94,20.32,30.34,31.12,39.48,41.34,47.44,46.12,44.52,43.46,33.48,30.18,6.84,6.17,0.67,-0.6,3.51,3.69,-0.19,0.28,6.43,5.52,0.91,-0.91,6.15,5.66,0.49,-0.48,11.32,7.18,4.14,-3.17,7.56,7.52,0.04,-0.03,11.42,8.63,2.79,-1.78,8.53,8.39,0.15,-0.1,8.36,8.09,0.27,-0.18,8.16,7.9,0.25,-0.18,6.04,6.09,-0.05,0.05,5.52,5.49,0.04,-0.04,3.54,19.48,2.67,6.21,-2.79,14.7,34.18,34.0,34.0,2.99,16.45,1.03,4.02,-1.89,5.64,22.09,34.0,34.0,5.65,31.06,0.15,5.8,-0.14,0.82,31.89,34.0,34.0,7.53,41.42,0.15,7.68,-0.11,0.81,42.23,34.0,34.0,7.85,43.17,0.02,7.87,-0.02,0.12,43.29,34.0,34.0
1,Small desk fan (grey),Mid,135.0,60.0,28,TskControl34,2025-05-16 17:02:44,2025-05-16_ID0_NoPCS_Ta28_TskControl34.csv,2025-05-16_ID1_Small desk fan (grey)_Mid_Angle135_Distance60_Ta28_TskControl34.csv,3.36,-0.42,4.16,1.92,18.68,1.28,12.24,0.58,1.7,2.4,0.06,-0.22,28.6,28.5,31.5,0.0,28.5,27.18,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,37.3,19.9,34.5,33.04,58.16,42.62,59.68,46.7,46.22,45.86,33.54,29.96,28.6,28.5,31.5,0.0,28.5,27.18,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,33.94,20.32,30.34,31.12,39.48,41.34,47.44,46.12,44.52,43.46,33.48,30.18,6.78,6.17,0.61,-0.54,3.62,3.69,-0.08,0.11,6.27,5.52,0.76,-0.75,6.01,5.66,0.35,-0.34,10.57,7.18,3.4,-2.6,7.75,7.52,0.23,-0.17,10.85,8.63,2.23,-1.42,8.49,8.39,0.11,-0.07,8.4,8.09,0.31,-0.21,8.34,7.9,0.44,-0.3,6.1,6.09,0.01,-0.01,5.45,5.49,-0.04,0.04,3.54,19.48,2.28,5.82,-2.35,12.54,32.02,34.0,34.0,2.99,16.45,0.89,3.88,-1.65,4.91,21.36,34.0,34.0,5.65,31.06,0.15,5.8,-0.13,0.82,31.88,34.0,34.0,7.53,41.42,0.2,7.73,-0.16,1.12,42.54,34.0,34.0,7.85,43.17,0.12,7.97,-0.09,0.68,43.85,34.0,34.0
2,Small desk fan (black),Mid (On-Off),135.0,60.0,28,TskControl34,2025-05-16 17:29:44,2025-05-16_ID0_NoPCS_Ta28_TskControl34.csv,2025-05-16_ID2_Small desk fan (black)_Mid (On-Off)_Angle135_Distance60_Ta28_TskControl34.csv,3.76,1.28,5.48,6.94,17.64,8.88,21.16,2.16,1.64,2.06,0.04,0.5,28.6,28.5,31.5,0.0,28.5,27.18,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,37.7,21.6,35.82,38.06,57.12,50.22,68.6,48.28,46.16,45.52,33.52,30.68,28.6,28.5,31.5,0.0,28.5,27.18,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,33.94,20.32,30.34,31.12,39.48,41.34,47.44,46.12,44.52,43.46,33.48,30.18,6.85,6.17,0.68,-0.61,3.93,3.69,0.23,-0.35,6.51,5.52,1.0,-0.99,6.92,5.66,1.26,-1.23,10.39,7.18,3.21,-2.46,9.13,7.52,1.61,-1.18,12.47,8.63,3.85,-2.45,8.78,8.39,0.39,-0.26,8.39,8.09,0.3,-0.2,8.28,7.9,0.37,-0.26,6.09,6.09,0.01,-0.01,5.58,5.49,0.09,-0.09,3.54,19.48,1.13,4.67,-0.83,6.19,25.67,34.0,34.0,2.99,16.45,1.35,4.34,-2.49,7.44,23.89,34.0,34.0,5.65,31.06,0.03,5.68,-0.01,0.16,31.23,34.0,34.0,7.53,41.42,0.28,7.81,-0.21,1.55,42.97,34.0,34.0,7.85,43.17,0.04,7.89,-0.04,0.23,43.4,34.0,34.0
2,Small desk fan (black),Mid (On-Off),135.0,60.0,22,TskControl34,2025-02-19 15:36:03,2025-02-19_ID0_NoPCS_Ta22_TskControl34.csv,2025-02-19_ID2_Small desk fan (black)_Mid (On-Off)_Angle135_Distance60_Ta22_TskControl34.csv,-0.48,-2.26,0.14,-2.68,6.06,5.38,12.98,11.3,-3.24,0.06,-0.6,0.1,22.2,22.4,32.6,0.13,22.29,22.06,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,72.94,43.98,65.0,69.12,90.58,101.5,138.16,124.82,87.62,95.12,63.48,64.36,22.1,22.3,30.15,0.2,22.18,22.02,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,73.42,46.24,64.86,71.8,84.52,96.12,125.18,113.52,90.86,95.06,64.08,64.26,6.23,6.21,0.02,0.08,3.76,3.91,-0.16,0.58,5.55,5.49,0.06,-0.03,5.9,6.07,-0.17,0.44,7.74,7.15,0.58,-0.85,8.67,8.13,0.54,-0.66,11.8,10.59,1.21,-1.23,10.66,9.6,1.06,-1.18,7.48,7.69,-0.2,0.42,8.12,8.04,0.08,-0.01,5.42,5.42,-0.0,0.11,5.5,5.44,0.06,-0.02,3.28,38.81,0.64,3.92,-0.92,7.13,45.94,34.0,34.0,3.51,41.48,0.03,3.54,-0.01,0.01,41.49,34.0,34.0,5.07,59.9,-0.18,4.88,0.52,-2.71,57.19,34.0,34.0,7.63,90.2,-0.32,7.31,0.59,-4.61,85.59,34.0,34.0,8.0,94.58,-0.45,7.55,0.74,-6.14,88.44,34.0,34.0
2,Small desk fan (black),Mid (On-Off),135.0,60.0,25,TskControl34,2025-02-01 17:37:44,2025-02-01_ID0_NoPCS_Ta25_TskControl34.csv,2025-02-01_ID2_Small desk fan (black)_Mid (On-Off)_Angle135_Distance60_Ta25_TskControl34.csv,0.9,-2.9,0.4,1.28,9.54,8.04,18.46,13.42,-5.16,-2.94,-5.58,-1.3,25.1,25.4,64.76,0.08,25.26,26.08,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,54.32,31.42,45.1,55.8,67.9,82.32,116.28,100.4,61.66,62.98,43.2,44.0,24.8,25.4,62.29,0.26,25.03,25.78,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,53.42,34.32,44.7,54.52,58.36,74.28,97.82,86.98,66.82,65.92,48.78,45.3,6.22,5.96,0.26,-0.15,3.59,3.83,-0.23,0.76,5.16,4.98,0.18,-0.08,6.38,6.08,0.31,-0.21,7.77,6.51,1.26,-1.47,9.42,8.28,1.14,-0.97,13.3,10.91,2.4,-1.69,11.49,9.7,1.79,-1.38,7.05,7.45,-0.39,0.69,7.21,7.35,-0.14,0.4,4.94,5.44,-0.5,1.03,5.03,5.05,-0.02,0.26,3.22,28.87,0.39,3.61,0.04,2.69,31.56,34.0,34.0,3.26,29.24,0.32,3.58,-0.62,2.09,31.33,34.0,34.0,5.19,46.57,0.1,5.3,0.01,-0.29,46.28,34.0,34.0,6.99,62.74,0.17,7.16,0.04,-0.15,62.59,34.0,34.0,7.36,66.04,0.13,7.49,0.09,-0.58,65.46,34.0,34.0
3,Midiam evaporative cooler (purple),Level3,135.0,60.0,22,TskControl34,2025-02-19 18:42:23,2025-02-19_ID0_NoPCS_Ta22_TskControl34.csv,2025-02-19_ID3_Midiam evaporative cooler (purple)_Level3_Angle135_Distance60_Ta22_TskControl34.csv,-0.64,-2.4,-1.12,-4.24,0.32,2.52,0.76,7.58,-3.64,-1.18,-0.86,-0.42,22.2,22.2,34.7,0.07,22.2,22.09,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,72.78,43.84,63.74,67.56,84.84,98.64,125.94,121.1,87.22,93.88,63.22,63.84,22.1,22.3,30.15,0.2,22.18,22.02,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,73.42,46.24,64.86,71.8,84.52,96.12,125.18,113.52,90.86,95.06,64.08,64.26,6.17,6.21,-0.04,0.1,3.72,3.91,-0.2,0.61,5.4,5.49,-0.09,0.2,5.73,6.07,-0.35,0.7,7.19,7.15,0.04,-0.04,8.36,8.13,0.23,-0.31,10.67,10.59,0.08,-0.07,10.26,9.6,0.66,-0.79,7.39,7.69,-0.3,0.47,7.96,8.04,-0.09,0.15,5.36,5.42,-0.06,0.16,5.41,5.44,-0.03,0.08,3.28,38.81,1.67,4.95,-3.31,19.59,58.4,34.0,34.0,3.51,41.48,-0.04,3.46,0.14,-0.6,40.88,34.0,34.0,5.07,59.9,-0.22,4.84,0.52,-2.74,57.16,34.0,34.0,7.63,90.2,-0.42,7.22,0.64,-5.05,85.15,34.0,34.0,8.0,94.58,-0.69,7.31,1.01,-8.32,86.26,34.0,34.0
3,Midiam evaporative cooler (purple),Level2,135.0,60.0,22,TskControl34,2025-02-19 16:44:58,2025-02-19_ID0_NoPCS_Ta22_TskControl34.csv,2025-02-19_ID3_Midiam evaporative cooler (purple)_Level2_Angle135_Distance60_Ta22_TskControl34.csv,-1.28,-1.64,-0.9,-3.64,0.48,0.3,-0.12,2.2,-2.82,-1.44,1.84,-0.54,22.3,22.3,40.66,0.15,22.3,22.3,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,72.14,44.6,63.96,68.16,85.0,96.42,125.06,115.72,88.04,93.62,65.92,63.72,22.1,22.3,30.15,0.2,22.18,22.02,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,73.42,46.24,64.86,71.8,84.52,96.12,125.18,113.52,90.86,95.06,64.08,64.26,6.17,6.21,-0.05,0.21,3.81,3.91,-0.1,0.42,5.47,5.49,-0.02,0.16,5.83,6.07,-0.25,0.6,7.26,7.15,0.11,-0.07,8.24,8.13,0.11,-0.04,10.69,10.59,0.1,0.01,9.89,9.6,0.29,-0.23,7.52,7.69,-0.16,0.37,8.0,8.04,-0.04,0.18,5.63,5.42,0.21,-0.34,5.45,5.44,0.01,0.1,3.28,38.81,1.14,4.43,-1.77,13.0,51.81,34.0,34.0,3.51,41.48,-0.02,3.49,0.18,-0.7,40.78,34.0,34.0,5.07,59.9,-0.16,4.91,0.47,-2.46,57.43,34.0,34.0,7.63,90.2,-0.54,7.09,0.88,-7.27,82.93,34.0,34.0,8.0,94.58,-0.47,7.54,0.8,-6.41,88.17,34.0,34.0
