Datetime,Ta,Tg,Twb,MRT,RH,V,WBGT,ET
2025-02-11 10:25:27,25.3,25.3,25.3,25.3,62.41,0.11,25.3,26.08
2025-02-11 10:26:27,25.3,25.3,25.3,25.3,62.41,0.07,25.3,26.08
2025-02-11 10:27:27,25.3,25.3,25.4,25.3,62.41,0.1,25.37,26.08
2025-02-11 10:28:27,25.3,25.3,25.3,25.3,62.41,0.05,25.3,26.08
2025-02-11 10:29:27,25.3,25.3,25.4,25.3,62.41,0.1,25.37,26.08
2025-02-11 10:30:27,25.3,25.3,25.4,25.3,62.41,0.11,25.37,26.08
2025-02-11 10:31:27,25.3,25.3,25.4,25.3,62.8,0.13,25.37,26.1
2025-02-11 10:32:27,25.3,25.3,25.3,25.3,62.8,0.13,25.3,26.1
2025-02-11 10:33:27,25.3,25.3,25.4,25.3,62.8,0.1,25.37,26.1
2025-02-11 10:34:27,25.3,25.3,25.4,25.3,62.41,0.07,25.37,26.08
2025-02-11 10:35:27,25.3,25.3,25.4,25.3,62.41,0.11,25.37,26.08
2025-02-11 10:36:27,25.3,25.3,25.4,25.3,62.41,0.09,25.37,26.08
2025-02-11 10:37:27,25.3,25.3,25.4,25.3,62.41,0.08,25.37,26.08
2025-02-11 10:38:27,25.3,25.3,25.3,25.3,62.41,0.1,25.3,26.08
2025-02-11 10:39:27,25.4,25.3,25.3,25.2,62.04,0.1,25.3,26.08
2025-02-11 10:40:27,25.4,25.3,25.4,25.2,62.43,0.18,25.37,26.1
2025-02-11 10:41:27,25.4,25.3,25.4,25.2,62.43,0.15,25.37,26.1
2025-02-11 10:42:27,25.4,25.3,25.4,25.2,62.43,0.13,25.37,26.1
2025-02-11 10:43:27,25.4,25.4,25.4,25.4,63.22,0.05,25.4,26.24
2025-02-11 10:44:27,25.3,25.4,25.4,25.4,63.6,0.06,25.4,26.15
2025-02-11 10:45:27,25.2,25.3,25.4,25.3,63.98,0.05,25.37,26.15
2025-02-11 10:46:27,25.2,25.3,25.3,25.4,64.79,0.15,25.3,26.19
2025-02-11 10:47:27,25.1,25.3,25.3,25.4,65.17,0.06,25.3,26.19
2025-02-11 10:48:27,25.0,25.3,25.3,25.4,65.56,0.01,25.3,26.1
2025-02-11 10:49:27,25.1,25.3,25.3,25.4,64.76,0.08,25.3,26.08
2025-02-11 10:50:27,25.3,25.2,25.3,25.1,64.0,0.09,25.27,26.08
2025-02-11 10:51:27,25.3,25.2,25.3,25.2,64.0,0.07,25.27,26.08
2025-02-11 10:52:27,25.3,25.3,25.3,25.3,64.4,0.17,25.3,26.19
2025-02-11 10:53:27,25.3,25.3,25.3,25.3,64.4,0.07,25.3,26.19
2025-02-11 10:54:27,25.3,25.3,25.3,25.3,64.4,0.09,25.3,26.19
2025-02-11 10:55:27,25.3,25.3,25.3,25.3,64.0,0.17,25.3,26.17
2025-02-11 10:56:27,25.3,25.3,25.3,25.3,64.0,0.14,25.3,26.17
2025-02-11 10:57:27,25.3,25.3,25.3,25.3,64.0,0.07,25.3,26.17
2025-02-11 10:58:27,25.3,25.3,25.3,25.3,64.0,0.07,25.3,26.17
2025-02-11 10:59:27,25.3,25.3,25.3,25.3,64.0,0.08,25.3,26.17
2025-02-11 11:00:27,25.3,25.3,25.3,25.3,64.0,0.17,25.3,26.17
2025-02-11 11:01:27,25.3,25.3,25.3,25.3,63.6,0.12,25.3,26.15
2025-02-11 11:02:27,25.3,25.3,25.3,25.3,63.6,0.11,25.3,26.15
2025-02-11 11:03:27,25.1,25.3,25.3,25.4,64.36,0.07,25.3,26.06
2025-02-11 11:04:27,25.1,25.3,25.3,25.4,66.0,0.0,25.3,26.14
2025-02-11 11:05:27,25.1,25.2,25.3,25.2,66.0,0.06,25.27,26.14
2025-02-11 11:06:27,25.1,25.2,25.2,25.3,66.0,0.12,25.2,26.14
2025-02-11 11:07:27,25.0,25.2,25.2,25.3,66.39,0.12,25.2,26.05
2025-02-11 11:08:27,25.0,25.2,25.2,25.4,66.39,0.17,25.2,26.14
2025-02-11 11:09:27,25.0,25.2,25.2,25.3,66.39,0.11,25.2,26.14
2025-02-11 11:10:27,24.9,25.1,25.2,25.2,66.79,0.0,25.17,26.05
2025-02-11 11:11:27,24.9,25.1,25.2,25.2,66.79,0.11,25.17,26.05
2025-02-11 11:12:27,25.0,25.1,25.1,25.2,66.39,0.1,25.1,26.05
2025-02-11 11:13:27,25.0,25.1,25.1,25.2,66.81,0.08,25.1,26.08
2025-02-11 11:14:27,25.0,25.1,25.1,25.2,66.81,0.15,25.1,26.08
2025-02-11 11:15:27,24.8,25.1,25.1,25.4,67.61,0.26,25.1,26.04
2025-02-11 11:16:27,24.8,25.1,25.1,25.2,67.61,0.06,25.1,25.98
2025-02-11 11:17:27,24.8,25.0,25.0,25.1,67.61,0.13,25.0,25.89
2025-02-11 11:18:27,24.7,25.0,25.0,25.1,68.01,0.03,25.0,25.89
2025-02-11 11:19:27,24.7,24.9,24.9,25.0,68.87,0.08,24.9,25.93
2025-02-11 11:20:27,24.7,24.9,24.9,25.0,68.87,0.06,24.9,25.93
2025-02-11 11:21:27,24.7,24.9,25.0,25.0,68.87,0.03,24.97,25.93
2025-02-11 11:22:27,24.8,24.9,24.9,24.9,68.46,0.06,24.9,25.93
2025-02-11 11:23:27,24.7,24.8,24.9,24.9,68.87,0.11,24.87,25.84
2025-02-11 11:24:27,24.6,24.9,24.9,25.0,69.28,0.0,24.9,25.84
2025-02-11 11:25:27,24.6,24.9,24.9,25.1,69.72,0.17,24.9,25.86
